SNR_dB,rho,PEP_near,PEP_far,T_near,T_far,T_sum,P_B,P_C,EE
5.0,0.7012562814,0.3703604552,0.3727698611,0.3148197724,0.1568075347,0.4716273071,3.1622776602,0.2000000000,0.1402701843
5.0,0.7057788945,0.3713027560,0.3736886688,0.3143486220,0.1565778328,0.4709264548,3.1622776602,0.2000000000,0.1400617386
5.0,0.7103015075,0.3722610102,0.3746232244,0.3138694949,0.1563441939,0.4702136888,3.1622776602,0.2000000000,0.1398497496
5.0,0.7148241206,0.3732354649,0.3755737722,0.3133822676,0.1561065569,0.4694888245,3.1622776602,0.2000000000,0.1396341623
5.0,0.7193467337,0.3742263777,0.3765405670,0.3128868112,0.1558648582,0.4687516694,3.1622776602,0.2000000000,0.1394149195
5.0,0.7238693467,0.3752340174,0.3775238745,0.3123829913,0.1556190314,0.4680020227,3.1622776602,0.2000000000,0.1391919615
5.0,0.7283919598,0.3762586643,0.3785239718,0.3118706678,0.1553690071,0.4672396749,3.1622776602,0.2000000000,0.1389652260
5.0,0.7329145729,0.3773006111,0.3795411480,0.3113496944,0.1551147130,0.4664644074,3.1622776602,0.2000000000,0.1387346479
5.0,0.7374371859,0.3783601631,0.3805757051,0.3108199185,0.1548560737,0.4656759922,3.1622776602,0.2000000000,0.1385001595
5.0,0.7419597990,0.3794376389,0.3816279579,0.3102811805,0.1545930105,0.4648741911,3.1622776602,0.2000000000,0.1382616899
5.0,0.7464824121,0.3805333714,0.3826982354,0.3097333143,0.1543254412,0.4640587555,3.1622776602,0.2000000000,0.1380191651
5.0,0.7510050251,0.3816477079,0.3837868808,0.3091761461,0.1540532798,0.4632294259,3.1622776602,0.2000000000,0.1377725080
5.0,0.7555276382,0.3827810115,0.3848942529,0.3086094942,0.1537764368,0.4623859310,3.1622776602,0.2000000000,0.1375216379
5.0,0.7600502513,0.3839336616,0.3860207266,0.3080331692,0.1534948183,0.4615279875,3.1622776602,0.2000000000,0.1372664706
5.0,0.7645728643,0.3851060548,0.3871666936,0.3074469726,0.1532083266,0.4606552992,3.1622776602,0.2000000000,0.1370069179
5.0,0.7690954774,0.3862986056,0.3883325637,0.3068506972,0.1529168591,0.4597675562,3.1622776602,0.2000000000,0.1367428876
